Generated_Texts,Model,Bleu,F1_Score,RougeL,Length,Vec2
Text1,ada,0.019174999999999998,0.0598891357,0.17878122065,276.65,0.685592897
Text1,curie,0.04428,0.13017405365,0.2521938828,276.65,0.742885037
Text1,davinci,0.128385,0.2405707833,0.38045832275,262.95,0.759715621
Text1,turbo,0.060075,0.16556022625,0.30579058319999997,340.8,0.7331506355
Text2,ada,0.019245,0.0635282915,0.19420065105,300.4,0.6957268015
Text2,curie,0.03336,0.14024617450000001,0.24023208010000002,272.9,0.706266692
Text2,davinci,0.01445,0.20896015705,0.3291832897,116.5,0.41736270849999996
Text2,turbo,0.112995,0.26614423305,0.40803465055,181.45,0.734846236
Text3,ada,0.013885,0.06699668589999999,0.18820235135000002,279.2,0.709877853
Text3,curie,0.038935,0.1266858044,0.252783844,224.25,0.7442724055000001
Text3,davinci,0.127735,0.32640449245000003,0.47582230015000004,133.5,0.741884138
Text3,turbo,0.14588,0.32244661264999996,0.46039356235,151.55,0.76940704
