Author,ROUGE1_Generated_Text1,ROUGE2_Generated_Text1,ROUGEL_Generated_Text1,ROUGE1_Generated_Text2,ROUGE2_Generated_Text2,ROUGEL_Generated_Text2,ROUGE1_Generated_Text3,ROUGE2_Generated_Text3,ROUGEL_Generated_Text3
Ben Shneiderman,0.3069306930693069,0.06,0.15841584158415845,0.34636871508379885,0.14689265536723164,0.16759776536312848,0.17218543046357615,0.040268456375838924,0.11920529801324503
Fabian Beck,0.33628318584070793,0.19819819819819817,0.2654867256637168,0.30939226519337015,0.055865921787709494,0.17679558011049726,0.3333333333333333,0.08450704225352113,0.20833333333333331
Mary Jean Harrold,0.304,0.0975609756097561,0.192,0.28571428571428575,0.11965811965811965,0.11764705882352942,0.16,0.04081632653061224,0.12000000000000001
Stephan Diehl,0.37777777777777777,0.12686567164179105,0.2074074074074074,0.4431818181818181,0.12643678160919541,0.2159090909090909,0.3140495867768595,0.075,0.17355371900826444
Daniel Weiskopf,0.1313868613138686,0.08888888888888889,0.1313868613138686,0.1857142857142857,0.028985507246376815,0.09999999999999999,0.11940298507462685,0.07575757575757576,0.11940298507462685
Michael Burch,0.27692307692307694,0.078125,0.1846153846153846,0.10638297872340424,0.043478260869565216,0.10638297872340424,0.3076923076923077,0.0718562874251497,0.20118343195266272
James A. Jones,0.31137724550898205,0.06060606060606061,0.17964071856287422,0.3755868544600939,0.17061611374407584,0.3004694835680751,0.368421052631579,0.05333333333333333,0.17105263157894737
Catherine Plaisant,0.18181818181818182,0.05673758865248227,0.11188811188811187,0.21374045801526717,0.12403100775193798,0.21374045801526717,0.2235294117647059,0.047619047619047616,0.16470588235294117
Benjamin B. Bederson,0.4467005076142132,0.22564102564102564,0.3248730964467005,0.27218934911242604,0.03592814371257485,0.15384615384615383,0.2416666666666667,0.01680672268907563,0.15
Stuart K. Card,0.5063291139240507,0.24358974358974356,0.31645569620253167,0.4260355029585799,0.1437125748502994,0.23668639053254437,0.33939393939393936,0.147239263803681,0.2303030303030303
Achim Ebert,0.3418803418803419,0.17391304347826086,0.23931623931623933,0.5972222222222223,0.30985915492957744,0.34722222222222227,0.20952380952380953,0.07766990291262135,0.17142857142857143
Mary C. Whitton,0.36241610738255037,0.12244897959183672,0.21476510067114096,0.41379310344827586,0.16279069767441862,0.26436781609195403,0.38888888888888884,0.18309859154929578,0.23611111111111108
Henry Fuchs,0.1138211382113821,0.01652892561983471,0.08130081300813008,0.31868131868131866,0.14444444444444446,0.2527472527472528,0.40594059405940597,0.11,0.198019801980198
Dieter Schmalstieg,0.4380952380952381,0.125,0.22857142857142854,0.27450980392156865,0.10596026490066225,0.11764705882352942,0.183206106870229,0.046511627906976744,0.12213740458015267
Anna Celler,0.36800000000000005,0.14634146341463414,0.272,0.32653061224489793,0.13402061855670105,0.2142857142857143,0.2096774193548387,0.049180327868852465,0.14516129032258063
Ghassan Hamarneh,0.1496598639455782,0.0,0.10884353741496598,0.25,0.1818181818181818,0.25,0.29333333333333333,0.08108108108108107,0.1866666666666667
Xenophon Papademetris,0.4137931034482759,0.2097902097902098,0.28965517241379307,0.3259259259259259,0.06015037593984962,0.20740740740740743,0.15037593984962408,0.015267175572519083,0.10526315789473684
Penny Rheingans,0.33333333333333326,0.0813953488372093,0.1839080459770115,0.16352201257861634,0.012738853503184714,0.0880503144654088,0.3151515151515151,0.11042944785276074,0.1818181818181818
Marie desJardins,0.3448275862068965,0.055944055944055944,0.16551724137931034,0.19130434782608696,0.0,0.1043478260869565,0.3194444444444444,0.056338028169014086,0.15277777777777776
Carla E. Brodley,0.4352941176470589,0.17857142857142858,0.31764705882352945,0.34682080924855496,0.1286549707602339,0.18497109826589597,0.4000000000000001,0.10126582278481013,0.21250000000000002
